docname,from,to,pre,keyword,post,pattern
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_731,16,16,"In the campaign’s final stretch , Trump has zeroed in on the Left’s embrace of",transgenderism,", pouring millions into television ads that highlight Kamala Harris’s promotion of far-left policies , such as taxpayer-funded transgender surgeries for illegal immigrants and federal prisoners .",trans
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_731,25,25,"In the campaign’s final stretch , Trump has zeroed in on the Left’s embrace of transgenderism , pouring millions into television ads that highlight",Kamala,"Harris’s promotion of far-left policies , such as taxpayer-funded transgender surgeries for illegal immigrants and federal prisoners .",kamala
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_731,26,26,"In the campaign’s final stretch , Trump has zeroed in on the Left’s embrace of transgenderism , pouring millions into television ads that highlight Kamala",Harris’s,"promotion of far-left policies , such as taxpayer-funded transgender surgeries for illegal immigrants and federal prisoners .",harris
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_731,35,35,"In the campaign’s final stretch , Trump has zeroed in on the Left’s embrace of transgenderism , pouring millions into television ads that highlight Kamala Harris’s promotion of far-left policies , such as taxpayer-funded",transgender,surgeries for illegal immigrants and federal prisoners .,trans
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_731,39,39,"In the campaign’s final stretch , Trump has zeroed in on the Left’s embrace of transgenderism , pouring millions into television ads that highlight Kamala Harris’s promotion of far-left policies , such as taxpayer-funded transgender surgeries for illegal",immigrants,and federal prisoners .,immigrant
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_732,2,2,“,Kamala,"is for they / them . President Trump is for you , ” warns Trump’s most aired ad . It’s also his most effective ad , according to Democratic testing results reviewed by The New York Times .",kamala
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_732,10,10,“ Kamala is for they / them . President,Trump,"is for you , ” warns Trump’s most aired ad . It’s also his most effective ad , according to Democratic testing results reviewed by The New York Times .",trump
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_732,17,17,"“ Kamala is for they / them . President Trump is for you , ” warns",Trump’s,"most aired ad . It’s also his most effective ad , according to Democratic testing results reviewed by The New York Times .",trump
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_733,1,1,,Kamala,is for they / them .,kamala
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_734,2,2,President,Trump,is for you . pic.twitter.com / Yk1KBgMH4f,trump
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_735,2,2,—,Trump,"War Room ( @TrumpWarRoom ) September 20 , 2024",trump
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_735,6,6,— Trump War Room (,@TrumpWarRoom,") September 20 , 2024",trump
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_736,7,7,Republicans across the country are following,Trump’s,"lead , aggressively messaging that transgender procedures are irreversible and deeply harm children . Candidates up and down the ticket argue that men do not belong in women’s sports or spaces , and that parents should have the right to decide what their children are being taught in school about",trump
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_736,13,13,"Republicans across the country are following Trump’s lead , aggressively messaging that",transgender,"procedures are irreversible and deeply harm children . Candidates up and down the ticket argue that men do not belong in women’s sports or spaces , and that parents should have the right to decide what their children are being taught in school about race , sexuality , and gender",trans
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_736,30,30,"Republicans across the country are following Trump’s lead , aggressively messaging that transgender procedures are irreversible and deeply harm children . Candidates up and down the ticket argue that",men,"do not belong in women’s sports or spaces , and that parents should have the right to decide what their children are being taught in school about race , sexuality , and gender .",men
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_736,35,35,"Republicans across the country are following Trump’s lead , aggressively messaging that transgender procedures are irreversible and deeply harm children . Candidates up and down the ticket argue that men do not belong in",women’s,"sports or spaces , and that parents should have the right to decide what their children are being taught in school about race , sexuality , and gender .",men
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_737,15,15,The Daily Wire spoke with more than a dozen activists and operatives close to,Trump,"world , who say that events of the last four years — the grassroots uprising of parents against ideology in schools , the Loudoun County , Virginia , sexual assault of a young girl by a trans-identifying student , and the emergence of fighters like Riley Gaines on the high-profile",trump
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_737,52,52,"Daily Wire spoke with more than a dozen activists and operatives close to Trump world , who say that events of the last four years — the grassroots uprising of parents against ideology in schools , the Loudoun County , Virginia , sexual assault of a young girl by a",trans-identifying,"student , and the emergence of fighters like Riley Gaines on the high-profile issue of trans-identifying athletes — convinced Trump that this is a culture war he needs to be at the front of .",trans
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_737,68,68,"who say that events of the last four years — the grassroots uprising of parents against ideology in schools , the Loudoun County , Virginia , sexual assault of a young girl by a trans-identifying student , and the emergence of fighters like Riley Gaines on the high-profile issue of",trans-identifying,athletes — convinced Trump that this is a culture war he needs to be at the front of .,trans
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_737,72,72,"of the last four years — the grassroots uprising of parents against ideology in schools , the Loudoun County , Virginia , sexual assault of a young girl by a trans-identifying student , and the emergence of fighters like Riley Gaines on the high-profile issue of trans-identifying athletes — convinced",Trump,that this is a culture war he needs to be at the front of .,trump
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_739,38,38,"In late June 2021 , Republican congressman Jim Banks sent a memo urging his colleagues to “ lean into the culture war ” as a “ winning ” issue . He took note of the “ organic",movement,from parents across the country in places like Loudoun County ” who he said were “ fed up with the lessons their kids are being taught . ”,men
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_741,11,11,That was just a few months before the real watershed,moment,"in October 2021 , when authorities arrested a father named Scott Smith at a Loudoun County school board meeting . The Daily Wire’s Luke Rosiak exposed that the school system worked to conceal that a skirt-wearing boy sexually assaulted a young girl , Smith’s daughter , as it pushed a",men
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_741,62,62,"in October 2021 , when authorities arrested a father named Scott Smith at a Loudoun County school board meeting . The Daily Wire’s Luke Rosiak exposed that the school system worked to conceal that a skirt-wearing boy sexually assaulted a young girl , Smith’s daughter , as it pushed a",transgender,bathroom policy .,trans
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_744,5,5,( Photo by Chen,Mengtong,/ China News Service via Getty Images ),men
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_745,56,56,"a glimpse into their children’s classrooms , and many parents were shocked to discover the racial , sexual , ideological , and even pornographic content their children were exposed to every day . Like the parents in Virginia , they began to speak up , and to share stories ,",documents,", and testimony with publications willing to shine a light on their stories .",men
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_749,6,6,And the politics of the,transgender,issue changed when it became intertwined with schools .,trans
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_750,9,9,“ A lot of people’s views on the,trans,"issue began to change the moment you brought kids into it , ” one senior Trump world adviser told The Daily Wire . “ There’s a big difference between what a 25-year-old does versus what a 13-year-old can do . ”",trans
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_750,15,15,“ A lot of people’s views on the trans issue began to change the,moment,"you brought kids into it , ” one senior Trump world adviser told The Daily Wire . “ There’s a big difference between what a 25-year-old does versus what a 13-year-old can do . ”",men
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_750,25,25,"“ A lot of people’s views on the trans issue began to change the moment you brought kids into it , ” one senior",Trump,world adviser told The Daily Wire . “ There’s a big difference between what a 25-year-old does versus what a 13-year-old can do . ”,trump
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_751,35,35,"“ Republicans are pretty live and let live when it comes to how adults want to live their lives , ” he added , “ but correctly draw the line when it comes to",experimental,"drugs or procedures on children , who can’t coherently make these decisions themselves yet , because their brains aren’t even developed . ”",men
how_trump_learned_to_embrace_the_transgender_culture_wars.txt_752,37,37,"The adviser even pointed to polling showing that support for gay marriage has been trending downward for the first time in a decade . The left did this to themselves , he said . “ That",movement,"has basically become a trans rights movement , and has become all about allowing experimental procedures on kids . ”",men
